Outubro - 2014,10,22,9,13,10,10,20,14,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setembro - 2014,11,15,14,15,13,7,15,13,12,17,20,17,11,9,19,20,18,11,17,13,11,18,18,16,15,13,14,14,14,9
Agosto - 2014,14,16,9,13,14,14,6,11,16,18,18,15,8,14,11,22,15,20,9,13,18,10,15,18,14,9,9,17,14,17,17
Julho - 2014,16,11,13,14,9,14,10,10,11,11,14,11,10,10,16,9,16,13,10,6,8,14,11,14,15,10,19,10,13,9,22
Junho - 2014,13,7,13,11,14,11,11,11,15,11,13,16,14,7,20,15,8,10,16,15,8,8,14,12,9,19,7,12,12,12
Maio - 2014,15,17,11,8,12,7,11,10,9,12,4,7,12,11,10,17,16,11,14,10,14,13,14,8,6,7,20,15,11,11,11
Abril - 2014,14,10,16,10,10,12,17,13,10,9,12,10,14,9,16,17,12,6,7,9,13,13,13,16,13,7,19,16,19,12
Mar&ccedil;o - 2014,16,21,20,12,14,11,13,20,12,19,17,13,18,15,11,9,19,8,11,12,14,15,10,21,14,12,12,10,12,14,11
Fevereiro - 2014,9,18,12,14,12,15,12,10,15,20,16,17,14,21,8,11,19,17,21,13,17,11,15,12,8,17,9,7
Janeiro - 2014,22,21,24,11,18,17,15,11,19,16,14,10,19,20,15,18,15,16,13,24,17,12,10,12,7,11,14,13,16,15,17
December - 2013,11,17,16,18,11,27,19,17,20,18,21,12,17,11,9,13,11,11,11,14,13,20,14,20,17,14,14,18,11,18,15
Novembro - 2013,13,13,18,7,12,11,14,6,12,10,15,13,7,8,13,13,19,15,8,10,6,16,14,18,11,13,16,11,14,17
Outubro - 2013,8,10,18,21,5,13,18,18,11,17,12,11,20,12,11,10,10,14,11,14,13,22,10,14,12,13,10,15,16,12,14
Setembro - 2013,13,19,15,6,10,8,11,7,13,12,16,11,10,20,8,8,10,11,12,12,10,9,15,8,7,15,11,3,7,13
Agosto - 2013,15,8,10,11,9,16,7,8,8,23,13,15,11,13,15,11,7,11,13,14,15,10,8,14,13,16,12,5,5,9,15
Julho - 2013,11,10,5,5,13,10,13,18,13,3,12,9,7,5,11,12,9,7,9,8,6,7,7,7,9,8,10,10,6,14,9
Junho - 2013,3,6,9,5,7,8,8,5,4,8,11,5,9,5,6,4,12,9,6,9,10,5,5,10,6,7,7,9,10,12
Maio - 2013,1,3,4,3,1,1,1,8,4,3,1,3,1,4,0,2,2,2,4,5,5,8,5,0,4,0,9,8,9,3,3
Abril - 2013,0,0,0,0,0,3,0,1,0,1,0,6,1,0,1,1,0,0,2,2,3,0,4,4,1,2,3,2,5,2
Mar&ccedil;o - 2013,1,1,0,1,3,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Fevereiro - 2013,0,0,1,0,1,1,0,0,1,1,2,0,0,2,0,1,0,1,1,0,4,0,1,1,1,1,1,0
Janeiro - 2013,2,1,0,0,1,3,1,0,0,1,0,1,2,0,0,2,0,0,0,2,0,1,1,0,0,0,1,0,2,1,0
December - 2012,0,3,0,0,0,1,2,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Novembro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,1,0,0,0
Outubro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setembro - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agosto - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julho - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junho - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maio - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abril - 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
